procurement_id,booking_id,farmer_id,centre_id,crop_grade,quantity_qtl,quality_status,gross_msp_value_inr,procurement_date
P00036,B00036,F0003,C003,paddy_common,31,quality_hold,73439,2026-11-02
P00037,B00037,F0097,C002,paddy_common,10,accepted,23690,2026-10-20
P00038,B00038,F0095,C003,paddy_grade_a,30,accepted,71070,2026-11-17
P00039,B00039,F0070,C003,paddy_grade_a,16,accepted,37904,2026-10-24
P00040,B00040,F0002,C003,paddy_grade_a,19,quality_hold,45011,2026-10-22
P00041,B00041,F0067,C004,paddy_common,33,accepted,78177,2026-11-13
P00042,B00042,F0094,C001,paddy_common,21,accepted,49749,2026-11-24
P00043,B00043,F0085,C002,paddy_grade_a,12,accepted,28428,2026-10-02
P00044,B00044,F0074,C004,paddy_grade_a,12,accepted,28428,2026-11-17
P00045,B00045,F0025,C004,paddy_common,7,accepted,16583,2026-11-26
P00046,B00046,F0087,C004,paddy_common,25,accepted,59225,2026-11-28
P00047,B00047,F0045,C003,paddy_grade_a,26,quality_hold,61594,2026-10-27
P00048,B00048,F0036,C003,paddy_common,35,accepted,82915,2026-11-07
P00049,B00049,F0090,C003,paddy_common,21,accepted,49749,2026-11-20
P00050,B00050,F0073,C003,paddy_grade_a,19,accepted,45011,2026-10-01
P00051,B00051,F0088,C002,paddy_grade_a,20,quality_hold,47380,2026-10-10
P00052,B00052,F0038,C002,paddy_grade_a,21,accepted,49749,2026-10-19
P00053,B00053,F0038,C001,paddy_grade_a,7,accepted,16583,2026-10-14
P00054,B00054,F0076,C001,paddy_common,14,accepted,33166,2026-10-20
P00055,B00055,F0056,C003,paddy_common,5,accepted,11845,2026-10-17
P00056,B00056,F0045,C003,paddy_common,9,accepted,21321,2026-11-15
P00057,B00057,F0019,C002,paddy_grade_a,13,quality_hold,30797,2026-11-28
P00058,B00058,F0038,C002,paddy_common,7,accepted,16583,2026-11-29
P00059,B00059,F0032,C004,paddy_grade_a,16,accepted,37904,2026-11-27
P00060,B00060,F0034,C003,paddy_grade_a,8,accepted,18952,2026-11-06
P00061,B00061,F0087,C003,paddy_common,18,quality_hold,42642,2026-11-19
P00062,B00062,F0033,C002,paddy_grade_a,11,quality_hold,26059,2026-10-13
P00063,B00063,F0040,C001,paddy_grade_a,14,quality_hold,33166,2026-11-29
P00064,B00064,F0060,C002,paddy_grade_a,25,accepted,59225,2026-10-07
P00065,B00065,F0068,C004,paddy_grade_a,9,quality_hold,21321,2026-11-29
P00066,B00066,F0092,C003,paddy_grade_a,26,accepted,61594,2026-10-28
P00067,B00067,F0054,C004,paddy_grade_a,19,accepted,45011,2026-11-28
P00068,B00068,F0004,C004,paddy_common,22,accepted,52118,2026-11-09
P00069,B00069,F0039,C002,paddy_grade_a,34,accepted,80546,2026-11-09
P00070,B00070,F0073,C003,paddy_common,22,accepted,52118,2026-10-09
P00071,B00071,F0086,C001,paddy_grade_a,17,quality_hold,40273,2026-10-30
P00072,B00072,F0007,C001,paddy_common,31,accepted,73439,2026-11-23
P00073,B00073,F0014,C003,paddy_common,25,accepted,59225,2026-11-06
P00074,B00074,F0089,C003,paddy_common,20,accepted,47380,2026-11-17
P00075,B00075,F0087,C001,paddy_common,23,quality_hold,54487,2026-10-10
P00076,B00076,F0095,C004,paddy_common,22,accepted,52118,2026-11-27
P00077,B00077,F0082,C002,paddy_grade_a,26,quality_hold,61594,2026-10-20
P00078,B00078,F0001,C004,paddy_common,28,accepted,66332,2026-10-05
P00079,B00079,F0020,C001,paddy_common,5,accepted,11845,2026-10-14
P00080,B00080,F0061,C001,paddy_grade_a,8,accepted,18952,2026-10-04
P00081,B00081,F0016,C003,paddy_grade_a,34,accepted,80546,2026-10-12
P00082,B00082,F0031,C003,paddy_grade_a,31,quality_hold,73439,2026-11-09
P00083,B00083,F0056,C002,paddy_common,8,accepted,18952,2026-10-10
P00084,B00084,F0096,C002,paddy_common,31,quality_hold,73439,2026-11-17
P00085,B00085,F0070,C002,paddy_grade_a,27,accepted,63963,2026-10-19
P00086,B00086,F0086,C001,paddy_grade_a,14,accepted,33166,2026-11-12
P00087,B00087,F0051,C004,paddy_common,13,accepted,30797,2026-10-27
P00088,B00088,F0055,C002,paddy_common,31,accepted,73439,2026-10-30
P00089,B00089,F0073,C004,paddy_common,8,quality_hold,18952,2026-10-20
P00090,B00090,F0083,C004,paddy_common,6,accepted,14214,2026-10-09
P00091,B00091,F0093,C004,paddy_grade_a,19,accepted,45011,2026-10-11
P00092,B00092,F0065,C002,paddy_grade_a,16,quality_hold,37904,2026-11-03
P00093,B00093,F0066,C001,paddy_common,17,quality_hold,40273,2026-10-10
P00094,B00094,F0084,C003,paddy_grade_a,16,quality_hold,37904,2026-11-24
P00095,B00095,F0018,C003,paddy_grade_a,30,accepted,71070,2026-10-05
P00096,B00096,F0083,C004,paddy_grade_a,34,accepted,80546,2026-11-08
P00097,B00097,F0024,C003,paddy_common,26,quality_hold,61594,2026-10-21
P00098,B00098,F0075,C003,paddy_grade_a,23,accepted,54487,2026-10-03
P00099,B00099,F0094,C002,paddy_common,5,accepted,11845,2026-11-12
P00100,B00100,F0064,C004,paddy_grade_a,8,accepted,18952,2026-11-19
P00101,B00101,F0094,C002,paddy_common,30,accepted,71070,2026-11-16
P00102,B00102,F0050,C004,paddy_common,33,accepted,78177,2026-11-09
P00103,B00103,F0015,C001,paddy_common,13,accepted,30797,2026-11-18
P00104,B00104,F0078,C001,paddy_common,16,accepted,37904,2026-10-07
P00105,B00105,F0058,C004,paddy_common,27,quality_hold,63963,2026-11-06
P00106,B00106,F0026,C002,paddy_grade_a,22,accepted,52118,2026-10-29
P00107,B00107,F0037,C002,paddy_common,26,quality_hold,61594,2026-10-11
P00108,B00108,F0068,C002,paddy_common,18,quality_hold,42642,2026-10-02
P00109,B00109,F0086,C001,paddy_common,25,accepted,59225,2026-11-21
P00110,B00110,F0001,C003,paddy_grade_a,9,quality_hold,21321,2026-11-04
P00111,B00111,F0010,C003,paddy_common,32,quality_hold,75808,2026-11-16
P00112,B00112,F0094,C004,paddy_common,35,accepted,82915,2026-11-06
P00113,B00113,F0061,C003,paddy_grade_a,31,quality_hold,73439,2026-11-27
P00114,B00114,F0018,C001,paddy_grade_a,22,accepted,52118,2026-11-10
P00115,B00115,F0010,C001,paddy_common,17,quality_hold,40273,2026-10-20
P00116,B00116,F0016,C004,paddy_common,8,accepted,18952,2026-11-08
P00117,B00117,F0043,C001,paddy_common,22,accepted,52118,2026-11-29
P00118,B00118,F0033,C004,paddy_grade_a,31,accepted,73439,2026-11-25
P00119,B00119,F0021,C003,paddy_common,32,quality_hold,75808,2026-11-06
P00120,B00120,F0067,C003,paddy_grade_a,12,quality_hold,28428,2026-10-04
P00121,B00121,F0090,C001,paddy_grade_a,22,accepted,52118,2026-11-11
P00122,B00122,F0005,C003,paddy_grade_a,5,accepted,11845,2026-10-13
P00123,B00123,F0098,C001,paddy_common,15,accepted,35535,2026-11-05
P00124,B00124,F0094,C003,paddy_common,31,accepted,73439,2026-11-01
P00125,B00125,F0073,C001,paddy_grade_a,7,accepted,16583,2026-11-30
P00126,B00126,F0077,C001,paddy_grade_a,18,accepted,42642,2026-10-18
P00127,B00127,F0006,C001,paddy_common,28,accepted,66332,2026-11-02
P00128,B00128,F0084,C003,paddy_grade_a,12,accepted,28428,2026-10-20
P00129,B00129,F0030,C001,paddy_common,30,accepted,71070,2026-11-19
P00130,B00130,F0026,C004,paddy_common,30,quality_hold,71070,2026-10-31
P00131,B00131,F0050,C004,paddy_common,6,accepted,14214,2026-11-14
P00132,B00132,F0071,C002,paddy_common,18,accepted,42642,2026-10-08
P00133,B00133,F0079,C003,paddy_grade_a,33,accepted,78177,2026-10-22
P00134,B00134,F0008,C002,paddy_common,18,accepted,42642,2026-11-07
P00135,B00135,F0030,C004,paddy_common,5,accepted,11845,2026-11-25
P00136,B00136,F0032,C001,paddy_common,28,accepted,66332,2026-10-09
P00137,B00137,F0024,C003,paddy_common,19,accepted,45011,2026-10-23
P00138,B00138,F0084,C002,paddy_grade_a,24,accepted,56856,2026-11-08
P00139,B00139,F0062,C001,paddy_common,17,accepted,40273,2026-10-17
P00140,B00140,F0070,C002,paddy_grade_a,35,quality_hold,82915,2026-11-17
P00141,B00141,F0046,C002,paddy_grade_a,31,quality_hold,73439,2026-10-20
P00142,B00142,F0047,C003,paddy_common,35,quality_hold,82915,2026-11-27
P00143,B00143,F0041,C001,paddy_common,13,accepted,30797,2026-11-27
P00144,B00144,F0091,C004,paddy_grade_a,18,accepted,42642,2026-10-14
P00145,B00145,F0018,C002,paddy_grade_a,34,quality_hold,80546,2026-11-05
P00146,B00146,F0016,C003,paddy_common,11,accepted,26059,2026-10-16
P00147,B00147,F0057,C004,paddy_common,27,accepted,63963,2026-11-01
P00148,B00148,F0005,C003,paddy_grade_a,31,quality_hold,73439,2026-10-25
P00149,B00149,F0011,C001,paddy_grade_a,14,quality_hold,33166,2026-10-25
P00150,B00150,F0003,C004,paddy_grade_a,20,accepted,47380,2026-10-03
P00151,B00151,F0027,C004,paddy_common,12,quality_hold,28428,2026-10-28
P00152,B00152,F0007,C003,paddy_common,22,quality_hold,52118,2026-11-18
P00153,B00153,F0004,C003,paddy_grade_a,16,quality_hold,37904,2026-10-14
P00154,B00154,F0004,C003,paddy_grade_a,29,accepted,68701,2026-11-20
P00155,B00155,F0095,C001,paddy_common,28,quality_hold,66332,2026-10-25
P00156,B00156,F0093,C003,paddy_grade_a,35,accepted,82915,2026-11-06
P00157,B00157,F0073,C003,paddy_common,28,accepted,66332,2026-10-30
P00158,B00158,F0031,C002,paddy_common,28,accepted,66332,2026-11-21
P00159,B00159,F0036,C001,paddy_common,26,quality_hold,61594,2026-10-19
P00160,B00160,F0074,C004,paddy_common,15,quality_hold,35535,2026-10-18
P00161,B00161,F0035,C003,paddy_common,16,accepted,37904,2026-10-20
P00162,B00162,F0085,C003,paddy_grade_a,23,accepted,54487,2026-10-29
P00163,B00163,F0003,C004,paddy_common,19,accepted,45011,2026-10-03
P00164,B00164,F0046,C004,paddy_common,35,accepted,82915,2026-10-04
P00165,B00165,F0011,C003,paddy_grade_a,23,accepted,54487,2026-10-29
P00166,B00166,F0034,C003,paddy_grade_a,10,accepted,23690,2026-10-09
P00167,B00167,F0081,C002,paddy_common,12,quality_hold,28428,2026-11-11
P00168,B00168,F0030,C001,paddy_common,6,accepted,14214,2026-11-13
P00169,B00169,F0057,C003,paddy_common,21,quality_hold,49749,2026-11-15
P00170,B00170,F0008,C003,paddy_grade_a,12,accepted,28428,2026-11-13
P00171,B00171,F0046,C001,paddy_common,32,accepted,75808,2026-10-07
P00172,B00172,F0065,C004,paddy_common,7,quality_hold,16583,2026-10-05
P00173,B00173,F0027,C003,paddy_grade_a,12,quality_hold,28428,2026-10-27
P00174,B00174,F0083,C004,paddy_grade_a,7,accepted,16583,2026-10-02
P00175,B00175,F0078,C003,paddy_grade_a,15,accepted,35535,2026-11-27
P00176,B00176,F0048,C004,paddy_grade_a,25,quality_hold,59225,2026-10-02
P00177,B00177,F0048,C001,paddy_grade_a,10,accepted,23690,2026-11-28
P00178,B00178,F0004,C001,paddy_common,23,accepted,54487,2026-11-02
P00179,B00179,F0100,C003,paddy_common,27,accepted,63963,2026-11-23
P00180,B00180,F0005,C002,paddy_grade_a,23,quality_hold,54487,2026-10-06
P00181,B00181,F0010,C002,paddy_grade_a,35,quality_hold,82915,2026-11-16
P00182,B00182,F0068,C001,paddy_grade_a,8,quality_hold,18952,2026-11-03
P00183,B00183,F0057,C003,paddy_grade_a,21,accepted,49749,2026-11-23
P00184,B00184,F0038,C002,paddy_grade_a,23,accepted,54487,2026-11-21
P00185,B00185,F0047,C002,paddy_grade_a,29,accepted,68701,2026-11-17
P00186,B00186,F0089,C002,paddy_grade_a,8,quality_hold,18952,2026-11-26
P00187,B00187,F0047,C001,paddy_grade_a,18,quality_hold,42642,2026-11-02
P00188,B00188,F0047,C004,paddy_common,7,accepted,16583,2026-11-20
P00189,B00189,F0030,C002,paddy_common,18,accepted,42642,2026-11-13
P00190,B00190,F0086,C002,paddy_grade_a,23,accepted,54487,2026-10-22
P00191,B00191,F0016,C001,paddy_grade_a,15,accepted,35535,2026-11-02
P00192,B00192,F0074,C004,paddy_common,9,accepted,21321,2026-11-26
P00193,B00193,F0002,C002,paddy_common,19,accepted,45011,2026-10-17
P00194,B00194,F0071,C004,paddy_common,29,accepted,68701,2026-11-25
P00195,B00195,F0056,C001,paddy_common,6,accepted,14214,2026-10-09
P00196,B00196,F0068,C004,paddy_grade_a,21,accepted,49749,2026-10-09
P00197,B00197,F0090,C002,paddy_grade_a,17,accepted,40273,2026-10-22
P00198,B00198,F0044,C001,paddy_common,33,accepted,78177,2026-11-17
P00199,B00199,F0046,C004,paddy_grade_a,34,quality_hold,80546,2026-10-29
P00200,B00200,F0056,C003,paddy_grade_a,28,quality_hold,66332,2026-10-09
P00201,B00201,F0024,C001,paddy_common,28,accepted,66332,2026-11-07
P00202,B00202,F0048,C004,paddy_grade_a,23,accepted,54487,2026-10-29
P00203,B00203,F0066,C003,paddy_common,10,accepted,23690,2026-10-20
P00204,B00204,F0044,C001,paddy_grade_a,20,accepted,47380,2026-10-21
P00205,B00205,F0041,C002,paddy_common,17,accepted,40273,2026-11-22
P00206,B00206,F0095,C002,paddy_grade_a,35,quality_hold,82915,2026-10-18
P00207,B00207,F0079,C003,paddy_common,23,accepted,54487,2026-10-19
P00208,B00208,F0016,C003,paddy_grade_a,10,accepted,23690,2026-10-29
P00209,B00209,F0022,C003,paddy_grade_a,12,quality_hold,28428,2026-11-18
P00210,B00210,F0030,C003,paddy_common,8,accepted,18952,2026-10-14
P00211,B00211,F0066,C002,paddy_common,22,quality_hold,52118,2026-11-27
P00212,B00212,F0070,C002,paddy_common,6,accepted,14214,2026-11-23
P00213,B00213,F0004,C003,paddy_common,31,accepted,73439,2026-11-30
P00214,B00214,F0074,C004,paddy_grade_a,35,quality_hold,82915,2026-10-09
P00215,B00215,F0059,C003,paddy_common,31,quality_hold,73439,2026-11-15
P00216,B00216,F0016,C004,paddy_grade_a,34,accepted,80546,2026-10-17
P00217,B00217,F0018,C003,paddy_common,7,accepted,16583,2026-11-21
P00218,B00218,F0096,C002,paddy_common,7,accepted,16583,2026-10-11
P00219,B00219,F0043,C003,paddy_grade_a,21,quality_hold,49749,2026-11-17
P00220,B00220,F0087,C001,paddy_grade_a,21,accepted,49749,2026-10-28
P00221,B00221,F0091,C003,paddy_common,8,quality_hold,18952,2026-11-12
P00222,B00222,F0081,C001,paddy_common,31,accepted,73439,2026-10-09
P00223,B00223,F0049,C002,paddy_common,23,accepted,54487,2026-10-31
P00224,B00224,F0063,C002,paddy_grade_a,9,accepted,21321,2026-10-09
P00225,B00225,F0082,C001,paddy_common,11,accepted,26059,2026-10-28
P00226,B00226,F0063,C002,paddy_common,7,accepted,16583,2026-10-27
P00227,B00227,F0034,C004,paddy_common,27,quality_hold,63963,2026-10-23
P00228,B00228,F0068,C002,paddy_grade_a,20,accepted,47380,2026-11-26
P00229,B00229,F0086,C004,paddy_grade_a,14,quality_hold,33166,2026-10-26
P00230,B00230,F0046,C004,paddy_grade_a,24,accepted,56856,2026-10-15
P00231,B00231,F0097,C003,paddy_grade_a,8,accepted,18952,2026-10-21
P00232,B00232,F0085,C004,paddy_common,12,accepted,28428,2026-10-30
P00233,B00233,F0041,C001,paddy_grade_a,35,quality_hold,82915,2026-10-26
P00234,B00234,F0017,C004,paddy_grade_a,27,quality_hold,63963,2026-10-27
P00235,B00235,F0031,C001,paddy_grade_a,26,accepted,61594,2026-11-02
P00236,B00236,F0053,C001,paddy_grade_a,11,accepted,26059,2026-11-13
P00237,B00237,F0053,C004,paddy_grade_a,15,accepted,35535,2026-10-26
P00238,B00238,F0007,C003,paddy_grade_a,13,quality_hold,30797,2026-10-15
P00239,B00239,F0082,C001,paddy_grade_a,15,accepted,35535,2026-10-27
P00240,B00240,F0074,C002,paddy_common,12,quality_hold,28428,2026-10-08
P00241,B00241,F0079,C003,paddy_common,35,quality_hold,82915,2026-11-04
P00242,B00242,F0093,C001,paddy_grade_a,5,accepted,11845,2026-11-19
P00243,B00243,F0043,C003,paddy_common,27,quality_hold,63963,2026-10-04
P00244,B00244,F0027,C003,paddy_common,21,accepted,49749,2026-11-23
P00245,B00245,F0051,C002,paddy_grade_a,22,accepted,52118,2026-11-28
P00246,B00246,F0043,C004,paddy_common,16,quality_hold,37904,2026-11-16
P00247,B00247,F0002,C001,paddy_common,12,quality_hold,28428,2026-10-07
P00248,B00248,F0051,C004,paddy_common,21,accepted,49749,2026-10-19
P00249,B00249,F0004,C002,paddy_common,14,accepted,33166,2026-10-18
P00250,B00250,F0016,C004,paddy_grade_a,28,accepted,66332,2026-11-22
P00251,B00251,F0035,C001,paddy_common,28,accepted,66332,2026-11-02
P00252,B00252,F0091,C004,paddy_common,28,accepted,66332,2026-11-17
P00253,B00253,F0070,C002,paddy_common,31,quality_hold,73439,2026-11-07
P00254,B00254,F0051,C002,paddy_grade_a,30,accepted,71070,2026-10-28
P00255,B00255,F0096,C001,paddy_grade_a,21,accepted,49749,2026-10-30
P00256,B00256,F0013,C003,paddy_grade_a,11,accepted,26059,2026-10-19
P00257,B00257,F0012,C002,paddy_grade_a,18,quality_hold,42642,2026-10-18
P00258,B00258,F0037,C002,paddy_grade_a,20,accepted,47380,2026-11-01
P00259,B00259,F0051,C003,paddy_common,28,accepted,66332,2026-10-15
P00260,B00260,F0004,C004,paddy_common,23,accepted,54487,2026-10-24
P00261,B00261,F0073,C001,paddy_grade_a,20,accepted,47380,2026-10-10
P00262,B00262,F0081,C001,paddy_common,30,quality_hold,71070,2026-10-11
P00263,B00263,F0063,C002,paddy_common,11,accepted,26059,2026-10-26
P00264,B00264,F0061,C002,paddy_common,24,accepted,56856,2026-10-17
P00265,B00265,F0040,C003,paddy_common,18,accepted,42642,2026-10-21
P00266,B00266,F0073,C004,paddy_common,27,accepted,63963,2026-11-14
P00267,B00267,F0097,C004,paddy_grade_a,11,accepted,26059,2026-11-11
P00268,B00268,F0042,C004,paddy_grade_a,12,quality_hold,28428,2026-11-05
P00269,B00269,F0095,C001,paddy_common,32,accepted,75808,2026-11-14
P00270,B00270,F0049,C002,paddy_common,7,accepted,16583,2026-11-03
P00271,B00271,F0016,C002,paddy_common,28,accepted,66332,2026-11-25
P00272,B00272,F0005,C004,paddy_grade_a,8,accepted,18952,2026-11-10
P00273,B00273,F0068,C004,paddy_common,30,quality_hold,71070,2026-11-25
P00274,B00274,F0054,C004,paddy_common,22,accepted,52118,2026-10-08
P00275,B00275,F0038,C003,paddy_grade_a,18,quality_hold,42642,2026-11-26
P00276,B00276,F0073,C002,paddy_common,16,accepted,37904,2026-11-03
P00277,B00277,F0027,C003,paddy_grade_a,26,accepted,61594,2026-10-30
P00278,B00278,F0043,C002,paddy_common,11,quality_hold,26059,2026-11-15
P00279,B00279,F0061,C001,paddy_grade_a,31,accepted,73439,2026-10-12
P00280,B00280,F0061,C001,paddy_common,9,accepted,21321,2026-11-14
P00281,B00281,F0026,C001,paddy_grade_a,11,accepted,26059,2026-10-07
P00282,B00282,F0080,C004,paddy_common,6,accepted,14214,2026-10-23
P00283,B00283,F0072,C002,paddy_grade_a,25,quality_hold,59225,2026-10-01
P00284,B00284,F0025,C003,paddy_grade_a,34,accepted,80546,2026-11-07
P00285,B00285,F0040,C003,paddy_grade_a,28,accepted,66332,2026-11-05
P00286,B00286,F0083,C002,paddy_common,22,quality_hold,52118,2026-10-10
P00287,B00287,F0094,C002,paddy_grade_a,8,accepted,18952,2026-10-17
P00288,B00288,F0014,C002,paddy_grade_a,23,accepted,54487,2026-11-06
P00289,B00289,F0076,C003,paddy_grade_a,29,accepted,68701,2026-10-11
P00290,B00290,F0030,C002,paddy_common,5,quality_hold,11845,2026-10-10
P00291,B00291,F0022,C004,paddy_common,9,accepted,21321,2026-10-05
P00292,B00292,F0007,C002,paddy_grade_a,33,accepted,78177,2026-11-12
P00293,B00293,F0042,C003,paddy_common,20,accepted,47380,2026-11-05
P00294,B00294,F0049,C004,paddy_grade_a,17,accepted,40273,2026-10-20
P00295,B00295,F0067,C003,paddy_common,31,quality_hold,73439,2026-11-23
P00296,B00296,F0022,C003,paddy_common,11,accepted,26059,2026-11-05
P00297,B00297,F0063,C003,paddy_common,19,quality_hold,45011,2026-11-27
P00298,B00298,F0084,C003,paddy_common,18,accepted,42642,2026-11-25
P00299,B00299,F0060,C003,paddy_grade_a,16,accepted,37904,2026-11-09
P00300,B00300,F0025,C004,paddy_grade_a,22,accepted,52118,2026-11-29
